state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48003271912  22.39  34.03  29.70  51.96  58.78  73.72  75.79  74.43  55.69  50.05  43.63  32.95
48003271913  28.45  22.21  34.43  56.77  60.67  73.96  76.93  80.37  67.15  49.46  44.76  29.35
48003271914  33.98  33.35  46.24  51.82  64.54  72.16  81.73  77.81  69.78  56.52  47.93  23.16
48003271915  28.81  40.03  41.32  61.81  59.07  65.70  73.18  78.17  62.11  60.15  42.35  33.24
48003271916   9.97  32.00  45.73  51.55  56.03  70.14  83.48  77.07  68.18  48.29  34.00  17.08
48003271917  19.27  26.31  31.55  45.79  56.23  70.16  84.56  76.55  68.22  52.52  48.13  30.07
48003271918  22.51  29.16  48.31  43.38  59.41  78.51  76.73  75.52  63.19  57.27  36.25  32.76
48003271919  30.13  30.38  44.56  54.18  67.30  82.40  84.43  79.99  68.90  41.36  32.59  17.47
48003271920  26.28  30.25  36.10  42.66  59.09  70.72  80.73  78.04  68.76  54.30  35.76  29.73
48003271921  33.55  40.23  45.59  50.95  60.03  76.66  82.65  78.78  64.90  61.52  37.63  27.00
48003271922  16.34  18.28  37.85  47.84  59.23  76.86  78.75  82.53  74.19  59.29  34.30  22.75
48003271923  34.56  26.53  37.44  50.38  62.42  72.19  82.98  75.94  66.60  46.22  41.94  28.47
48003271924  15.85  33.96  31.15  50.13  61.88  69.69  79.03  77.97  66.87  54.09  40.42  18.57
48003271925  26.40  38.66  47.26  55.33  64.45  71.20  81.48  77.83  65.91  39.97  33.73  32.09
48003271926  26.55  35.64  40.62  54.95  63.10  72.10  80.33  76.57  60.01  55.65  40.77  28.02
48003271927  25.63  35.82  41.20  48.83  56.07  69.51  79.66  72.39  65.10  59.18  38.62  18.16
48003271928  25.93  27.77  43.02  50.41  67.42  64.63  77.72  76.37  67.15  52.57  37.78  23.92
48003271929  14.99  18.32  38.17  49.66  59.58  71.38  83.01  82.87  60.21  57.00  28.87  30.13
48003271930   8.26  37.98  38.03  61.41  61.27  73.36  83.35  77.18  67.93  47.30  42.48  33.64
48003271931  34.81  42.39  42.33  53.56  62.29  77.70  84.00  80.01  70.23  56.23  38.28  27.73
48003271932  21.25  31.35  32.95  53.56  64.04  71.62  82.26  80.76  68.18  48.81  42.33  20.64
48003271933  27.30  21.52  43.66  48.90  58.33  80.78  86.27  76.17  70.50  60.17  44.80  36.66
48003271934  37.38  41.29  46.76  57.94  74.57  73.83  83.93  79.03  61.32  59.38  47.17  34.41
48003271935  32.72  40.60  42.22  48.02  54.97  71.04  85.80  79.61  70.09  57.00  31.69  33.39
48003271936  27.70  12.29  40.66  51.48  72.05  77.65  86.72  80.10  69.22  54.39  40.75  32.56
48003271937   8.02  29.23  40.44  52.34  66.69  70.25  80.98  83.39  71.31  58.46  40.35  30.58
48003271938  30.88  36.01  44.40  53.85  58.51  74.05  79.27  79.72  74.84  57.94  33.75  31.86
48003271939  33.82  23.38  44.20  56.84  68.68  68.70  84.70  79.11  70.66  57.52  49.82  39.85
48003271940  18.55  32.34  47.26  50.81  68.11  76.71  83.89  82.26  72.00  58.75  33.89  33.28
48003271941  31.93  38.17  42.85  51.40  66.70  73.13  81.55  77.99  60.69  52.41  42.10  32.43
48003271942  22.23  26.15  40.14  57.24  59.05  70.14  83.50  79.84  66.15  55.54  39.22  30.69
48003271943  22.68  36.41  34.61  60.35  57.83  69.55  82.81  81.75  69.49  59.47  43.23  32.43
48003271944  27.81  29.91  36.57  53.55  64.58  66.29  77.85  77.81  67.12  61.86  38.03  26.92
48003271945  27.32  32.16  42.78  46.63  60.12  63.72  81.03  79.38  61.84  60.22  38.66  25.66
48003271946  31.39  34.47  47.93  61.57  57.36  72.70  82.24  76.95  64.65  47.32  38.75  33.87
48003271947  26.73  30.92  37.04  50.70  63.05  65.71  83.55  81.14  67.44  59.50  29.98  27.81
48003271948  28.45  26.76  37.56  55.53  65.59  71.33  78.96  80.15  71.71  58.60  37.29  26.94
48003271949  14.41  25.92  39.47  60.76  65.08  71.19  82.44  81.41  67.32  46.24  50.65  31.06
48003271950  17.58  37.98  39.11  51.28  56.55  70.30  75.42  76.64  64.00  60.87  38.14  30.42
48003271951  23.85  37.08  36.91  51.28  64.26  64.69  79.74  76.17  63.99  51.24  39.31  24.30
48003271952  25.79  35.10  36.59  58.57  63.84  76.06  79.93  78.03  73.11  60.26  36.28  31.14
48003271953  39.51  34.97  45.99  46.71  56.61  73.18  84.74  80.04  71.55  60.76  46.24  33.60
48003271954  30.29  47.08  36.39  53.28  61.34  70.29  85.62  79.14  69.94  54.64  49.14  35.89
48003271955  31.14  29.39  34.07  52.68  63.03  68.74  82.18  82.15  67.14  60.42  29.19  26.94
48003271956  27.86  28.45  41.76  49.69  64.11  80.08  80.42  75.76  70.66  59.72  38.80  32.67
48003271957  16.63  35.46  43.56  48.29  61.43  68.86  83.79  79.65  65.32  52.30  34.23  39.60
48003271958  37.87  34.70  38.84  49.77  71.24  69.98  74.25  81.25  70.43  59.85  39.06  29.16
48003271959  27.27  27.46  42.94  50.68  57.87  77.61  81.73  80.82  65.28  51.15  31.59  32.14
48003271960  28.40  29.05  43.02  53.67  64.90  74.97  84.96  77.92  68.94  56.35  39.33  30.38
48003271961  29.52  39.31  46.35  49.68  62.76  79.38  81.81  82.33  58.82  51.73  34.93  26.83
48003271962  17.94  29.86  39.43  57.16  62.01  72.50  77.83  77.47  68.77  61.29  44.37  35.58
