state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48003281920   7.68  14.81  16.70  25.21  37.71  45.75  53.44  50.86  42.22  29.82  16.57  12.52
48003281921  12.47  16.21  20.53  28.45  40.50  50.45  53.91  51.21  38.59  30.90  16.79   9.05
48003281922  -3.12  -5.28  17.78  28.20  38.01  47.46  50.92  54.37  41.47  29.88  18.27   3.13
48003281923  15.66   4.53  15.64  25.79  37.99  46.47  58.03  50.90  42.75  29.43  22.15   8.10
48003281924  -3.86  14.20  16.20  28.72  36.37  44.53  50.25  47.41  39.49  33.10  19.26   0.30
48003281925   2.77  19.83  22.10  32.88  39.67  47.14  54.84  50.56  42.28  23.61  17.76  16.81
48003281926   6.80  18.41  20.46  30.56  41.97  46.49  53.80  51.35  35.38  32.74  22.89   9.75
48003281927   5.22  15.04  20.37  28.31  35.60  47.23  51.71  48.29  40.59  31.03  21.69  -1.91
48003281928   6.55   4.91  19.49  25.90  42.17  43.45  52.92  47.46  38.98  30.04  19.76   4.30
48003281929  -2.90  -3.89  20.50  27.99  34.32  44.87  53.73  53.74  39.40  29.93   9.32  10.67
48003281930 -11.45  19.89  18.46  34.47  38.03  43.75  53.67  54.55  40.08  29.46  16.07   8.56
48003281931  10.09  15.82  17.60  28.49  37.00  51.12  53.53  51.55  42.89  30.38  15.33   6.96
48003281932   2.41   7.23  12.51  30.97  40.53  48.00  52.45  51.71  41.18  27.32  22.95   0.01
48003281933   5.31  -0.33  22.44  26.92  37.08  51.66  54.88  50.59  41.97  31.44  20.55  15.08
48003281934  16.83  16.48  22.42  31.59  43.68  47.77  55.04  52.12  37.83  35.06  23.49  15.28
48003281935   8.46  16.50  18.23  25.30  37.06  46.42  55.09  49.96  41.94  28.94  13.44  13.23
48003281936   8.20  -7.46  19.54  27.77  41.32  50.76  58.23  53.37  40.60  30.58  16.41  12.45
48003281937 -11.97   7.14  20.12  28.96  41.31  47.77  56.28  51.57  43.95  32.94  19.78  12.04
48003281938  11.61  11.21  21.97  29.91  38.43  48.43  53.11  50.13  45.03  33.64  14.81  12.60
48003281939  14.13  -0.69  18.55  31.23  40.78  44.44  53.56  48.11  39.92  30.45  16.36  15.94
48003281940  -0.87  11.98  24.10  30.61  39.94  47.97  55.35  52.59  47.62  34.45  13.77  12.81
48003281941  11.71  15.08  21.38  31.64  42.08  49.33  54.46  54.41  39.56  30.13  20.80  15.10
48003281942   2.84   6.17  19.58  32.18  37.22  44.58  52.36  50.74  42.87  32.13  21.06  13.30
48003281943   0.16  15.55  11.05  35.51  36.79  46.11  52.99  52.54  40.57  33.33  22.33  10.11
48003281944   6.24   5.77  16.57  31.28  40.59  45.30  51.17  49.89  42.13  31.64  18.88   5.22
48003281945   7.54  11.64  18.66  25.54  38.30  45.05  52.34  50.63  39.74  32.47  20.41   8.56
48003281946  11.01  12.31  25.41  35.10  37.08  47.08  55.00  49.95  41.43  31.33  18.81  14.99
48003281947   7.95  11.43  17.24  29.07  40.44  44.76  53.60  51.82  43.45  35.69  15.75  11.93
48003281948   9.46   7.16  15.37  30.45  40.80  49.03  51.64  49.46  42.91  27.73  17.98   5.59
48003281949  -6.63   0.14  18.41  32.04  40.64  46.38  51.62  52.32  39.13  27.99  24.71   8.35
48003281950  -4.58  13.84  16.05  26.55  33.12  44.10  50.29  47.59  41.41  33.48  16.90  11.03
48003281951   2.93  13.30  11.82  24.49  40.26  40.91  51.26  50.22  37.51  30.42  16.97   7.43
48003281952   2.30  11.52  16.30  30.51  40.05  48.47  49.86  51.58  42.55  28.92  13.03  13.62
48003281953  19.99  16.36  21.29  25.20  35.08  46.42  55.22  51.75  41.67  32.25  23.74  15.31
48003281954   7.30  20.73  13.87  28.26  38.59  44.82  55.18  49.46  42.30  28.09  22.68  11.34
48003281955  10.35   7.81  10.54  26.83  39.25  46.26  53.56  53.46  41.07  31.28   9.61   9.43
48003281956   9.88   5.18  17.73  26.67  41.04  48.11  51.75  47.97  39.65  30.74  16.70   9.55
48003281957  -6.99  10.02  19.45  26.82  40.46  45.97  53.15  52.16  39.27  31.37  16.61  17.17
48003281958  10.83  14.22  20.26  28.76  43.30  46.51  49.53  52.38  41.27  28.74  17.37  10.89
48003281959   7.66   6.91  21.97  27.27  35.46  48.99  50.27  49.55  40.87  29.88  10.56  13.08
48003281960   9.68  11.75  18.70  28.02  37.27  47.08  54.18  49.23  41.90  32.77  19.06   9.10
48003281961   9.99  19.83  21.87  27.41  39.20  49.24  53.73  52.66  37.38  29.08  14.88   7.70
48003281962  -2.54  11.73  16.92  30.40  39.18  46.58  50.77  48.07  40.06  32.32  23.05  15.31
48003281963  -2.38  20.89  20.57  27.48  39.29  46.67  52.16  52.50  47.08  35.87  21.99   7.11
48003281964   7.84  10.58  14.45  27.82  38.93  45.86  54.64  48.20  38.26  29.62  17.40   8.44
48003281965  17.82   9.50   7.81  30.97  36.86  45.48  52.57  49.78  34.38  32.74  22.60  13.73
48003281966   8.35  11.32  19.22  26.35  38.12  45.66  55.44  49.46  45.75  28.63  18.68  13.08
48003281967  13.24  15.60  19.27  27.37  36.75  45.59  53.02  50.27  44.53  31.66  17.67   6.93
48003281968   1.87  16.63  23.72  24.64  35.22  45.52  51.01  48.36  39.79  29.52  17.74   5.95
48003281969   0.63  12.67  16.65  32.05  38.55  43.16  51.67  51.58  42.15  26.49  19.96  14.07
48003281970   8.87  17.01  17.46  24.91  38.70  47.19  52.72  51.66  36.57  26.17  19.51   7.30
48003281971   8.89  13.80  19.24  28.54  39.45  47.41  49.15  54.45  37.72  29.17  20.19   9.27
48003281972   2.82  15.44  26.10  28.02  37.36  48.54  48.00  51.12  38.66  30.20  18.30   0.77
48003281973   2.08   8.64  21.11  24.62  35.76  46.99  52.07  51.10  40.80  32.52  18.79  15.15
48003281974   6.31  16.93  20.30  29.89  35.15  48.02  54.28  47.01  35.82  30.74  21.07  11.82
48003281975   8.29   4.51  18.43  22.66  35.89  43.72  55.76  47.89  38.35  30.45  16.47  13.24
48003281976   7.29  15.13  15.55  29.95  39.85  45.28  54.77  49.95  42.55  28.31  18.28  10.38
48003281977   1.92  16.70  18.75  31.32  39.96  51.13  53.33  49.28  41.40  31.14  16.66   8.92
48003281978   2.05   5.95  19.67  31.73  37.24  44.74  51.78  48.04  41.45  29.75   7.66  -3.10
48003281979 -12.30   4.23  21.02  28.45  37.96  45.36  52.70  52.36  42.98  32.68  15.57  13.14
48003281980   3.27  12.58  18.39  30.96  40.35  46.49  52.66  48.02  41.81  30.54  21.72  17.89
48003281981  16.83  14.34  22.75  31.69  39.18  45.45  51.94  50.97  42.64  29.55  22.30  12.33
48003281982   2.84  10.56  20.32  25.29  35.74  45.12  52.57  52.74  41.29  30.33  17.87  12.61
48003281983  17.46  20.71  24.57  26.73  34.68  45.91  52.34  56.89  41.07  32.32  20.52  -3.21
48003281984   8.60  15.71  23.56  27.30  37.83  45.72  54.25  53.40  36.81  27.05  19.53   1.69
48003281985   0.86   4.28  18.52  30.56  40.59  45.88  54.79  48.38  38.08  28.11   4.91   6.06
48003281986  13.62  13.06  27.84  29.98  36.55  51.10  50.59  50.65  39.85  31.53  17.69  12.20
48003281987   8.49  20.37  23.02  32.14  43.02  48.49  52.39  48.16  41.45  29.07  23.00  12.65
48003281988   5.59  11.91  21.56  30.15  40.03  53.85  54.30  49.28  39.87  32.38  20.41  10.85
48003281989   6.35  -1.07  18.39  29.23  38.35  45.81  55.60  49.98  40.71  31.44  21.92   7.90
48003281990  12.94  12.20  21.88  31.24  36.46  46.26  52.63  52.11  45.91  29.08  22.35   0.19
48003281991   4.80  21.61  21.00  28.80  39.87  47.37  53.51  53.47  42.49  28.40  16.66  13.73
48003281992  12.70  20.21  26.96  33.06  40.57  48.52  49.05  48.33  39.40  31.69  19.22   4.71
48003281993   2.62   4.01  21.90  29.30  41.52  44.49  46.72  47.25  38.66  29.93  13.96  14.74
48003281994  14.14   8.40  22.50  29.35  42.24  47.66  51.91  52.45  43.57  31.15  16.61  15.30
48003281995  12.29  17.17  20.97  26.62  35.91  45.34  50.95  51.85  41.88  28.47  22.73  13.50
48003281996   4.55  10.69  16.57  29.66  37.45  47.77  52.86  50.68  40.53  30.90  17.29   9.54
48003281997   7.34  15.66  21.51  23.90  39.00  49.77  52.56  51.89  44.73  31.41  18.88  13.15
48003281998   9.70  18.16  19.71  30.07  39.18  42.96  56.44  53.38  48.65  33.75  25.56  11.14
48003281999  16.12  20.28  23.04  28.67  37.78  46.00  51.91  53.06  38.48  31.66  26.33  14.76
48003282000  11.80  19.63  23.95  30.70  40.82  45.93  54.61  53.13  41.13  32.04   9.18   8.82
48003282001   9.59   6.66  22.96  31.17  40.24  47.91  56.46  54.18  45.48  30.72  23.67  11.55
48003282002  10.24  11.91  14.34  27.43  35.78  48.20  56.26  48.52  43.14  25.90  19.63  12.24
48003282003  15.73  10.74  21.79  32.36  38.80  45.90  56.37  55.80  39.92  33.21  13.50  15.35
48003282004   7.21  14.94  25.88  31.32  37.92  45.07  52.47  48.51  42.31  32.88  20.89  15.48
48003282005  11.86  15.12  22.26  29.68  38.07  46.11  54.25  49.69  42.13  33.85  22.14  10.94
48003282006  18.70  11.88  19.98  32.31  39.07  49.14  56.71  51.51  41.72  30.04  20.98  13.10
48003282007   5.11  13.10  26.55  30.42  39.88  48.76  59.18  53.35  42.73  32.88  21.87   8.31
48003282008   5.58  14.81  18.81  23.45  37.99  45.01  53.22  51.22  40.06  31.24  26.49   5.16
48003282009  10.71  15.31  19.02  28.53  38.62  45.50  51.37  49.64  44.40  25.61  21.40   2.57
48003282010  10.58  12.43  24.04  29.01  34.50  47.23  52.66  50.99  41.83  35.89  17.46  11.70
48003282011   9.09   5.65  22.55  27.32  37.04  45.46  54.95  52.75  43.07  35.55  18.07  10.92
48003282012  14.40  14.86  27.70  32.92  37.63  48.76  57.51  51.87  43.39  29.35  22.48  11.98
48003282013   7.75  10.13  20.41  24.53  40.44  48.09  56.07  54.55  47.32  29.23  20.05   6.96
48003282014  11.32   4.86  21.27  28.92  39.76  45.84  54.19  52.68  43.23  34.16  13.57  13.50
48003282015  13.01  19.96  25.43  29.98  39.56  52.48  52.68  50.95  45.37  37.00  18.75  11.79
48003282016  14.34  20.61  24.46  33.80  39.40  51.48  53.74  51.91  44.51  35.62  28.02   3.83
48003282017   2.80  17.49  30.22  31.48  39.79  49.21  56.53  51.85  43.77  29.07  23.11  11.61
48003282018  13.46   3.61  22.08  28.47  43.72  48.87  55.26  50.86  42.67  29.82  19.60  11.64
48003282019  12.40   5.59  16.45  31.89  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
48005281895   4.91   4.87  17.56  33.66  37.62  44.67  51.67  50.18  40.10  29.39  16.11  11.82
48005281896   9.99  17.47  15.48  29.01  39.47  48.97  54.68  51.62  40.03  28.89   8.56  21.96
48005281897   6.87  10.15  12.04  30.40  42.12  48.07  53.51  51.85  47.98  33.89  15.44   9.43
48005281898   9.03  17.47  13.14  31.62  39.58  48.96  53.89  54.88  41.27  28.45  14.25   9.91
48005281899   8.29  -5.24   8.13  28.08  37.89  47.05  53.29  51.82  43.48  32.23  24.87  11.37
48005281900  17.08   9.77  21.00  36.86  44.71  54.43  54.77  55.26  43.97  34.18  18.63  20.75
48005281901  12.88   8.24  22.23  33.35  46.17  46.89  58.17  56.07  41.22  36.43  25.16  15.75
48005281902  12.18  17.51  22.73  28.15  42.69  47.39  51.82  52.25  38.71  32.77  21.06  11.39
48005281903  14.81   1.45  18.68  30.85  38.62  48.07  53.74  53.92  40.75  32.43  17.69  16.95
48005281904  12.15   7.84  19.94  30.99  39.85  45.05  50.70  50.95  41.23  34.93  23.47  15.06
