state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48001022018  27.19  21.69  31.98  38.89  50.88  59.79  64.22  61.20  57.16  39.74  27.50  21.60
48001022019  22.10  22.10  26.35  39.60  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
48003021895  12.58  13.98  27.84  47.08  50.56  54.86  64.09  64.83  53.73  44.29  28.60  18.50
48003021896  18.52  30.51  26.85  39.88  48.61  63.61  68.13  64.58  50.79  44.28  12.74  32.95
48003021897  20.34  21.76  19.13  41.76  54.34  57.72  61.54  63.01  57.20  41.41  25.14  17.02
48003021898  11.59  25.92  22.06  42.13  47.61  59.02  64.09  65.86  51.98  37.40  23.86  12.96
48003021899  17.11   2.19  16.95  40.26  49.30  59.47  67.50  62.89  55.29  39.29  33.06  17.64
48003021900  19.18  16.11  31.53  42.55  54.68  65.44  67.69  65.70  53.46  43.27  24.94  26.22
48003021901  19.36  17.35  32.31  43.36  58.26  56.41  71.33  67.24  51.78  47.62  35.17  19.38
48003021902  14.74  23.23  31.10  39.96  54.45  59.31  65.97  65.37  53.10  44.33  29.21  20.03
48003021903  22.35  14.38  29.07  39.67  47.98  61.00  65.57  65.53  51.24  44.53  27.61  22.62
48003021904  19.56  23.14  30.42  44.31  50.32  58.41  65.10  65.26  56.26  46.31  34.27  23.76
48003021905  18.81  15.51  36.37  41.25  47.71  57.76  66.45  67.89  57.87  39.97  30.65  20.93
48003021906  20.03  23.25  19.22  42.73  49.95  57.58  66.83  64.58  57.16  43.77  27.86  24.46
48003021907   7.95  23.31  34.65  38.16  45.43  55.17  66.11  63.52  53.96  47.84  31.26  23.52
48003021908  22.50  25.12  28.81  44.38  48.42  55.99  69.13  61.81  56.68  40.80  29.12  15.49
48003021909  11.98  20.37  30.60  35.38  46.65  60.31  67.87  68.65  55.78  43.25  31.71   6.22
48003021910  10.09  10.09  41.07  48.20  51.04  61.50  69.01  61.48  54.00  45.37  31.03  22.15
48003021911  18.73  20.91  36.41  38.03  50.40  63.55  63.57  61.09  54.07  38.41  22.35  17.55
48003021912  13.59  25.30  19.20  40.28  48.38  59.88  63.41  61.65  46.26  39.33  33.24  22.59
48003021913  17.71  11.26  23.31  42.57  49.71  61.54  63.30  65.86  52.99  38.19  32.34  18.09
48003021914  22.44  22.23  33.71  41.22  51.10  58.39  67.46  63.54  54.00  42.98  32.88  11.14
48003021915  17.40  28.65  30.34  48.90  48.51  54.12  60.76  64.31  51.13  45.72  31.37  22.14
48003021916  -1.19  20.12  34.59  40.12  44.62  56.79  68.52  63.27  53.10  37.18  22.08   8.19
48003021917   8.15  16.27  21.07  35.64  45.37  56.26  69.75  62.53  55.17  39.81  36.37  19.44
48003021918  12.72  17.96  36.34  34.16  47.34  65.12  64.44  61.56  52.12  45.68  27.30  23.59
48003021919  18.32  19.76  30.78  42.26  52.88  65.70  69.64  65.05  55.72  32.45  22.48   7.36
48003021920  16.97  22.53  26.40  33.94  48.40  58.24  67.08  64.45  55.49  42.06  26.17  21.13
48003021921  23.00  28.22  33.06  39.70  50.27  63.55  68.29  65.01  51.75  46.22  27.19  18.03
48003021922   6.60   6.49  27.81  38.03  48.63  62.17  64.83  68.45  57.83  44.58  26.28  12.94
48003021923  25.11  15.53  26.53  38.08  50.20  59.34  70.50  63.41  54.66  37.83  32.04  18.27
48003021924   5.99  24.08  23.67  39.43  49.14  57.11  64.65  62.69  53.19  43.59  29.84   9.43
48003021925  14.58  29.25  34.68  44.11  52.07  59.18  68.16  64.20  54.10  31.78  25.74  24.44
48003021926  16.68  27.01  30.54  42.76  52.54  59.31  67.06  63.95  47.70  44.20  31.84  18.88
48003021927  15.42  25.41  30.79  38.57  45.84  58.37  65.70  60.33  52.84  45.10  30.15   8.11
48003021928  16.23  16.34  31.26  38.16  54.81  54.05  65.32  61.92  53.08  41.31  28.76  14.11
48003021929   6.03   7.20  29.34  38.82  46.96  58.14  68.36  68.31  49.82  43.47  19.09  20.39
48003021930  -1.61  28.92  28.24  47.95  49.64  58.57  68.52  65.88  54.01  38.39  29.28  21.09
48003021931  22.44  29.10  29.97  41.04  49.66  64.42  68.77  65.79  56.57  43.30  26.80  17.35
48003021932  11.82  19.29  22.73  42.28  52.29  59.81  67.35  66.24  54.70  38.07  32.65  10.33
48003021933  16.29  10.60  33.06  37.90  47.71  66.24  70.57  63.39  56.25  45.81  32.68  25.86
48003021934  27.10  28.87  34.59  44.78  59.13  60.82  69.49  65.59  49.57  47.23  35.33  24.84
48003021935  20.59  28.54  30.22  36.66  46.02  58.73  70.45  64.80  56.01  42.98  22.57  23.31
48003021936  17.94   2.41  30.09  39.63  56.70  64.20  72.48  66.74  54.91  42.49  28.58  22.50
48003021937  -1.98  18.18  30.27  40.66  54.00  59.00  68.63  67.48  57.65  45.72  30.06  21.31
48003021938  21.24  23.61  33.19  41.88  48.47  61.25  66.20  64.92  59.94  45.79  24.28  22.23
48003021939  23.97  11.35  31.39  44.04  54.73  56.59  69.15  63.61  55.31  44.01  33.10  27.90
48003021940   8.83  22.15  35.69  40.71  54.03  62.33  69.62  67.42  59.81  46.60  23.83  23.04
48003021941  21.81  26.62  32.11  41.52  54.39  61.23  68.02  66.20  50.13  41.27  31.44  23.76
48003021942  12.52  16.16  29.86  44.71  48.15  57.36  67.95  65.30  54.52  43.83  30.15  21.99
48003021943  11.41  25.97  22.82  47.93  47.32  57.85  67.91  67.15  55.04  46.42  32.79  21.25
