STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08
US1TXCML006,29.8374,-98.3987,316.1,12/28/17,,,0.03,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,12/29/17,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,12/30/17,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,12/31/17,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/1/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/2/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/3/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/4/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/5/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/6/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/7/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/8/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/9/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/10/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/11/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/12/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/13/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/14/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/15/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/16/18,,,0.02,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/17/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/18/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/19/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/20/18,,,0.16,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/21/18,,,0.08,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/22/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/23/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/24/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/25/18,,,0,,,,,,,,,,
US1TXCML006,29.8374,-98.3987,316.1,1/26/18,,,0.02,,,,,,,,,,
