STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
US1TXMDN003,"HONDO 8.7 E, TX US",3/11/09,0.05,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/12/09,1.64,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/13/09,0.14,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/14/09,0.04,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/15/09,0.06,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/19/09,,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/20/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/21/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/24/09,,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/25/09,0.04,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/26/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/27/09,0.81,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/28/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/29/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/30/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",3/31/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/1/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/2/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/3/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/4/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/5/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/6/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/7/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/8/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/9/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/10/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/11/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/12/09,0.2,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/15/09,,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/16/09,0,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/17/09,0.04,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/18/09,0.07,,,
US1TXMDN003,"HONDO 8.7 E, TX US",4/22/09,,,,
