Texas, Palmer Drought Severity Index (PDSI)
Missing: -99,
Date,Value
199602,-2.44
199603,-2.64
199604,-2.99
199605,-4.54
199606,-4.78
199607,-4.79
199608,1.43
199609,1.78
199610,1.28
199611,1.48
199612,0.91
199701,0.55
199702,1.52
199703,1.68
199704,3.11
199705,3.18
199706,4.09
199707,4.19
199708,3.8
199709,2.86
199710,2.88
199711,2.71
199712,3.07
199801,3.02
199802,3.33
199803,3.52
199804,-0.46
199805,-1.83
199806,-2.98
199807,-3.85
199808,0.51
199809,0.32
199810,1.24
199811,1.79
199812,1.82
199901,1.78
199902,0.76
199903,1.26
199904,1.03
199905,1.12
199906,1.63
199907,1.66
199908,-0.57
199909,-1.19
199910,-1.54
199911,-2.49
199912,-2.71
200001,-3.11
200002,-3.76
200003,-3.48
200004,-3.57
200005,-4.18
200006,-3.47
200007,-4.47
200008,-5.32
200009,-5.77
200010,0.54
200011,2.47
200012,2.8
200101,3.38
200102,3.41
200103,4.14
200104,-0.63
200105,-0.81
200106,-0.94
200107,-1.73
200108,-1.1
200109,-0.91
200110,-1.11
200111,-0.51
200112,-0.22
200201,-0.54
200202,-0.73
200203,-0.4
200204,-0.75
200205,-1.5
200206,-1.87
200207,0.83
200208,0.36
200209,0.25
200210,1.75
200211,1.93
200212,2.76
200301,2.4
200302,2.85
200303,-0.2
200304,-0.78
200305,-1.76
200306,-1.17
200307,-1.15
200308,-1.26
200309,-0.7
200310,-0.61
200311,-0.9
200312,-1.51
200401,-1.46
200402,0.47
200403,0.48
200404,1.26
200405,0.72
200406,2.28
200407,2.78
200408,3.37
200409,2.88
200410,3.05
200411,5.01
200412,4.55
200501,4.49
200502,4.66
200503,4.36
200504,-0.5
200505,-0.54
200506,-1.09
200507,-0.97
200508,-0.37
200509,-1.32
200510,-1.35
200511,-2.03
200512,-2.63
200601,-3.2
200602,-3.55
200603,-3.42
200604,-4.1
200605,-4.95
200606,-5.56
200607,-5.59
200608,-5.28
200609,0.14
200610,0.69
200611,0.01
200612,0.26
200701,1.23
200702,0.68
200703,1.84
200704,1.92
200705,2.96
200706,4.21
200707,6.44
200708,7.7
200709,-0.02
200710,-0.55
200711,-0.84
200712,-1.12
200801,-1.47
200802,-1.92
200803,-1.52
200804,-1.63
200805,-2.32
200806,-3.07
200807,-3.2
200808,-1.82
200809,-1.63
200810,-1.58
200811,-2.01
200812,-2.6
200901,-3.32
200902,-4.18
200903,-3.89
200904,-3.36
200905,-3.92
200906,-4.72
200907,-4.51
200908,-4.7
200909,0.54
200910,1.78
200911,1.44
200912,1.82
201001,2.29
201002,2.98
201003,2.97
201004,3.03
201005,2.35
201006,2.13
201007,3.17
201008,-0.46
201009,-0.02
201010,-0.78
201011,-1.25
201012,-1.84
201101,-1.96
201102,-2.5
201103,-3.39
201104,-4.47
201105,-5.39
201106,-6.56
201107,-7.33
201108,-7.86
201109,-8.06
201110,-7.39
201111,-7.08
201112,-5.91
201201,-5.17
201202,-4.4
201203,-3.53
201204,-3.77
201205,-3.84
201206,-4.14
201207,-3.94
201208,-4.01
201209,-3.31
201210,-3.71
201211,-4.38
201212,-4.61
201301,-4.08
201302,-4.13
201303,-4.31
201304,-4.19
201305,-4.48
201306,-4.84
201307,-4.4
201308,-4.67
201309,-3.95
201310,-3.26
201311,-2.77
201312,-2.59
201401,-2.94
201402,-3.2
201403,-3.1
201404,-3.49
201405,-3.06
201406,-3.14
201407,-3.02
201408,-3.2
201409,-2.72
201410,-2.92
201411,0.59
201412,0.22
201501,0.74
201502,0.51
201503,1.48
201504,2.2
201505,4.75
201506,5.13
201507,5.16
201508,4.19
201509,2.82
201510,3.86
201511,4.64
201512,4.85
201601,4.45
201602,3.76
201603,3.85
201604,4.5
201605,4.96
201606,5.15
201607,4.7
201608,5.75
201609,-0.17
201610,-1.13
201611,-1.14
201612,-1
201701,-0.81
201702,-1.11
201703,-1.31
201704,-1.15
201705,-1.5
201706,-1.55
201707,-1.62
201708,2.47
201709,-0.17
201710,-0.67
201711,-1.5
201712,-1.4
201801,-1.83
201802,-1.53
201803,-1.54
201804,-1.88
201805,-2.94
201806,-3.5
201807,-3.77
201808,-3.71
201809,1.5
201810,3.38
201811,3.58
201812,4.57
