STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN
US1TXCML006,29.8374,-98.3987,316.1,6/14/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/15/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/16/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/17/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/18/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/19/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/20/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/21/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/22/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/23/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/24/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/25/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/26/16,,,0.02,,,
US1TXCML006,29.8374,-98.3987,316.1,6/27/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/28/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/29/16,,,0.14,,,
US1TXCML006,29.8374,-98.3987,316.1,6/30/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/1/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/2/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/3/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/4/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/6/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/7/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/8/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/10/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/11/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/12/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/13/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/14/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/16/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/17/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/18/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/19/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/20/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/21/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/22/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/23/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/24/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/25/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/26/16,,,0.43,,,
US1TXCML006,29.8374,-98.3987,316.1,7/27/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/28/16,,,0.19,,,
US1TXCML006,29.8374,-98.3987,316.1,7/29/16,,,0.12,,,
US1TXCML006,29.8374,-98.3987,316.1,7/30/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,7/31/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/1/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/2/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/3/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/4/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/5/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/6/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/7/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/8/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/9/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/10/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/11/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/12/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/13/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/14/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/15/16,,,0.88,,,
US1TXCML006,29.8374,-98.3987,316.1,8/16/16,,,1.83,,,
US1TXCML006,29.8374,-98.3987,316.1,8/17/16,,,0.11,,,
US1TXCML006,29.8374,-98.3987,316.1,8/18/16,,,0.26,,,
US1TXCML006,29.8374,-98.3987,316.1,8/19/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/20/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/21/16,,,2.51,,,
US1TXCML006,29.8374,-98.3987,316.1,8/22/16,,,0.17,,,
US1TXCML006,29.8374,-98.3987,316.1,8/23/16,,,0.06,,,
US1TXCML006,29.8374,-98.3987,316.1,8/25/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/26/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/27/16,,,0.13,,,
US1TXCML006,29.8374,-98.3987,316.1,8/28/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/29/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,8/30/16,,,0.03,,,
US1TXCML006,29.8374,-98.3987,316.1,8/31/16,,,0.05,,,
US1TXCML006,29.8374,-98.3987,316.1,9/1/16,,,0.65,,,
US1TXCML006,29.8374,-98.3987,316.1,9/2/16,,,0.02,,,
US1TXCML006,29.8374,-98.3987,316.1,9/3/16,,,0.06,,,
US1TXCML006,29.8374,-98.3987,316.1,9/4/16,,,0.05,,,
US1TXCML006,29.8374,-98.3987,316.1,9/5/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/6/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/7/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/8/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/9/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/17/16,8,0.02,,,,
US1TXCML006,29.8374,-98.3987,316.1,9/18/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/19/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/20/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/21/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/22/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/23/16,,,0.11,,,
US1TXCML006,29.8374,-98.3987,316.1,9/24/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/25/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/26/16,,,2.36,,,
US1TXCML006,29.8374,-98.3987,316.1,9/27/16,,,0.39,,,
US1TXCML006,29.8374,-98.3987,316.1,9/28/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/29/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,9/30/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/1/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/2/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/3/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/4/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/5/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/6/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/7/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/8/16,,,0.05,,,
US1TXCML006,29.8374,-98.3987,316.1,10/10/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/11/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/12/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/13/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/14/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/15/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/16/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/17/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/18/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/19/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/20/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/21/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/22/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/23/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/24/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/25/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/26/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/27/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/28/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/29/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,10/31/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/1/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/2/16,,,0.01,,,
US1TXCML006,29.8374,-98.3987,316.1,11/3/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/4/16,,,0.02,,,
US1TXCML006,29.8374,-98.3987,316.1,11/5/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/6/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/7/16,,,0.24,,,
US1TXCML006,29.8374,-98.3987,316.1,11/8/16,,,1.4,,,
US1TXCML006,29.8374,-98.3987,316.1,11/9/16,,,0.89,,,
US1TXCML006,29.8374,-98.3987,316.1,11/10/16,,,0.05,,,
US1TXCML006,29.8374,-98.3987,316.1,11/11/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/12/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/14/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/15/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/16/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/17/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/18/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/19/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/20/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/22/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/23/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/25/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/26/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/27/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/28/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/29/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,11/30/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/1/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/2/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/3/16,,,1.69,,,
US1TXCML006,29.8374,-98.3987,316.1,12/4/16,,,0.93,,,
US1TXCML006,29.8374,-98.3987,316.1,12/5/16,,,1.14,,,
US1TXCML006,29.8374,-98.3987,316.1,12/6/16,,,0.11,,,
US1TXCML006,29.8374,-98.3987,316.1,12/7/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/8/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/9/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/10/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/11/16,,,0.07,,,
US1TXCML006,29.8374,-98.3987,316.1,12/12/16,,,0.01,,,
US1TXCML006,29.8374,-98.3987,316.1,12/13/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/14/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/15/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/16/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/17/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/18/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/19/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/20/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/21/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/22/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/23/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/24/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/26/16,2,0.05,,,,
US1TXCML006,29.8374,-98.3987,316.1,12/27/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/28/16,,,0.11,,,
US1TXCML006,29.8374,-98.3987,316.1,12/29/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/30/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,12/31/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/1/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/2/17,,,0.23,,,
US1TXCML006,29.8374,-98.3987,316.1,1/3/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/4/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/5/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/6/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/7/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/8/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/9/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/10/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/11/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/12/17,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,1/13/17,,,0,,,
