final_date,division_name,precip_total_inches,temp_average_F,available_moisture_in_both_layers_start_in,moisture_anomaly_index,available_moisture_surface_layer_in,available_moisture_underlying_layer_in,modified_palmer_drought_index,crop_moisture_index
2001-03-01,south_central,0.0,46.4,4.77,-0.27,0.68,4.0,1.57,0.04
2001-03-08,south_central,1.1,61.0,8.0,0.66,1.0,7.0,2.26,0.77
2001-03-15,south_central,0.2,58.0,8.0,-0.16,0.91,7.0,1.98,0.28
2001-03-22,south_central,1.1,56.0,7.91,0.87,1.0,7.0,2.39,0.92
2001-03-29,south_central,0.0,73.0,8.0,-0.72,0.1,7.0,1.77,0.52
2001-04-05,south_central,0.1,75.0,7.1,-0.69,0.0,6.29,1.18,0.07
2001-04-12,south_central,0.1,71.0,6.29,-0.56,0.0,5.72,0.7,-0.1
2001-04-19,south_central,0.8,69.0,5.72,0.14,0.07,5.72,0.76,0.09
2001-04-26,south_central,1.0,74.0,5.79,0.11,0.06,5.72,0.8,0.14
2001-05-03,south_central,1.2,75.0,5.78,0.2,0.18,5.72,0.91,0.31
2001-05-10,south_central,0.2,77.0,5.9,-0.62,0.0,5.12,0.4,-0.05
2001-05-17,south_central,0.7,77.0,5.12,-0.27,0.0,4.78,0.16,-0.17
2001-05-24,south_central,0.4,82.0,4.78,-0.61,0.0,4.08,-0.32,-0.68
2001-05-31,south_central,0.7,82.0,4.08,-0.38,0.0,3.64,-0.61,-0.88
2001-06-07,south_central,0.5,83.0,3.64,-0.51,0.0,3.13,-0.98,-1.29
2001-06-14,south_central,0.5,81.0,3.13,-0.44,0.0,2.72,-1.26,-1.56
2001-06-21,south_central,0.6,83.0,2.72,-0.38,0.0,2.37,-1.36,-1.72
2001-06-28,south_central,0.8,82.0,2.37,-0.17,0.0,2.14,-1.38,-1.5
2001-07-05,south_central,0.0,85.0,2.14,-0.78,0.0,1.69,-1.61,-2.64
2001-07-12,south_central,0.0,87.0,1.69,-0.79,0.0,1.32,-1.83,-3.56
2001-07-19,south_central,0.1,86.0,1.32,-0.66,0.0,1.06,-2.01,-3.99
2001-07-26,south_central,0.2,86.0,1.06,-0.54,0.0,0.86,-2.14,-4.03
2001-08-02,south_central,0.2,86.0,0.86,-0.49,0.0,0.71,-2.25,-3.99
2001-08-09,south_central,0.2,87.0,0.71,-0.47,0.0,0.58,-2.35,-3.92
2001-08-16,south_central,0.1,86.0,0.58,-0.55,0.0,0.47,-2.48,-4.07
2001-08-23,south_central,7.8,80.0,0.47,7.02,1.0,5.9,2.34,2.11
2001-08-30,south_central,2.0,82.0,6.9,1.98,1.0,6.47,2.94,3.07
2001-09-06,south_central,0.9,79.0,7.47,0.76,0.66,6.47,3.12,2.93
2001-09-13,south_central,0.4,81.0,7.13,0.06,0.0,6.24,3.06,2.56
2001-09-20,south_central,0.4,70.0,6.24,0.08,0.0,5.99,3.01,1.55
2001-09-27,south_central,0.6,70.0,5.99,0.17,0.0,5.91,2.99,1.3
2001-10-04,south_central,2.4,71.0,5.91,1.54,1.0,6.57,3.43,2.74
2001-10-11,south_central,0.0,63.0,7.57,-0.22,0.58,6.57,3.17,1.89
2001-10-18,south_central,0.0,72.0,7.16,-0.38,0.0,6.43,2.79,1.22
2001-10-25,south_central,0.0,67.0,6.43,-0.34,0.0,6.0,2.46,0.67
2001-11-01,south_central,0.3,67.0,6.0,-0.12,0.0,5.82,2.29,0.52
2001-11-08,south_central,3.2,69.0,5.82,2.35,1.0,7.0,3.47,2.91
2001-11-15,south_central,0.2,62.0,8.0,-0.1,0.85,7.0,3.3,1.72
2001-11-22,south_central,1.04,54.4,7.85,0.77,1.0,7.0,3.52,1.85
2001-11-29,south_central,1.98,66.7,8.0,1.43,1.0,7.0,3.91,2.55
2001-12-06,south_central,1.29,53.3,8.0,1.02,1.0,7.0,4.16,2.48
2001-12-13,south_central,0.63,56.0,8.0,0.31,1.0,7.0,4.16,1.72
2001-12-20,south_central,0.0,49.9,8.0,-0.23,0.9,7.0,3.87,0.9
2001-12-27,south_central,0.59,40.7,7.9,0.41,1.0,7.0,4.01,0.93
2002-01-03,south_central,0.1,53.7,8.0,-0.21,0.94,7.0,3.74,0.42
2002-01-10,south_central,0.02,55.8,7.94,-0.32,0.76,7.0,3.4,0.06
2002-01-17,south_central,0.08,57.4,7.76,-0.3,0.6,7.0,3.08,0.05
2002-01-24,south_central,0.16,60.7,7.6,-0.3,0.44,7.0,2.77,0.04
2002-01-31,south_central,0.49,48.4,7.44,0.2,0.84,7.0,2.81,0.42
2002-02-07,south_central,0.0,51.8,7.84,-0.31,0.71,7.0,2.5,0.02
2002-02-14,south_central,0.1,58.2,7.71,-0.34,0.53,7.0,2.17,0.02
2002-02-21,south_central,0.1,49.7,7.53,-0.21,0.52,7.0,1.93,0.01
2002-03-01,south_central,0.0,41.9,5.0,-0.21,0.96,4.0,3.22,0.6
2002-03-08,south_central,0.06,62.5,7.37,-0.48,0.02,7.0,1.21,0.03
2002-03-15,south_central,0.57,62.8,7.02,0.07,0.16,7.0,1.2,0.18
2002-03-22,south_central,0.16,64.9,7.16,-0.36,0.0,6.83,0.89,0.05
2002-03-29,south_central,0.09,65.7,6.83,-0.43,0.0,6.43,0.54,-0.02
2002-04-05,south_central,2.1,70.4,6.43,1.53,1.0,6.76,1.54,1.27
2002-04-12,south_central,0.14,77.4,7.76,-0.68,0.0,6.72,1.01,0.82
2002-04-19,south_central,0.02,78.7,6.72,-0.89,0.0,5.66,0.35,0.09
2002-04-26,south_central,0.01,81.3,5.66,-1.03,0.0,4.63,-0.39,-0.57
2002-05-03,south_central,0.0,82.3,4.63,-1.08,0.0,3.74,-1.13,-1.35
2002-05-10,south_central,0.56,75.2,3.74,-0.39,0.0,3.49,-1.39,-1.27
2002-05-17,south_central,0.0,72.4,3.49,-0.68,0.0,3.08,-1.82,-1.69
2002-05-24,south_central,0.93,78.2,3.08,-0.2,0.0,2.93,-1.88,-1.32
2002-05-31,south_central,0.11,82.1,2.93,-0.87,0.0,2.39,-2.12,-2.28
2002-06-07,south_central,0.19,84.3,2.39,-0.83,0.0,1.95,-2.35,-3.06
2002-06-14,south_central,0.6,82.0,1.95,-0.47,0.0,1.71,-2.45,-2.96
2002-06-21,south_central,1.36,81.5,1.71,0.13,0.0,1.67,-2.27,-1.65
2002-06-28,south_central,6.31,79.9,1.67,3.89,1.0,5.52,0.74,2.09
2002-07-05,south_central,0.67,82.5,6.52,0.19,0.08,5.52,0.89,1.73
2002-07-12,south_central,2.34,80.6,5.6,1.47,0.92,5.52,1.82,2.34
2002-07-19,south_central,0.0,83.3,6.44,-0.12,0.0,5.05,1.66,1.91
2002-07-26,south_central,0.06,84.3,5.05,-0.18,0.0,4.06,1.45,0.94
2002-08-02,south_central,0.33,83.6,4.06,0.03,0.0,3.43,1.42,0.59
2002-08-09,south_central,1.15,83.2,3.43,0.78,0.0,3.26,1.82,0.95
2002-08-16,south_central,0.04,85.1,3.26,-0.25,0.0,2.63,1.55,0.49
2002-08-23,south_central,0.14,84.4,2.63,-0.26,0.0,2.17,1.29,0.16
2002-08-30,south_central,1.34,82.7,2.17,0.81,0.0,2.14,1.79,0.54
2002-09-06,south_central,2.59,80.0,2.14,1.94,1.0,2.4,2.39,1.4
2002-09-13,south_central,1.79,76.9,3.4,1.42,1.0,3.09,2.81,1.66
2002-09-20,south_central,0.06,75.3,4.09,-0.26,0.07,3.09,2.53,1.2
2002-09-27,south_central,0.12,79.7,3.16,-0.57,0.0,2.69,2.03,0.44
2002-10-04,south_central,2.68,75.7,2.69,1.56,1.0,3.4,2.85,1.36
2002-10-11,south_central,0.78,65.4,4.4,0.32,1.0,3.68,2.89,1.09
2002-10-18,south_central,4.75,68.0,4.68,3.38,1.0,7.0,3.94,4.35
2002-10-25,south_central,0.85,64.3,8.0,0.43,1.0,7.0,3.98,3.11
2002-11-01,south_central,3.55,58.5,8.0,2.75,1.0,7.0,4.8,5.13
2002-11-08,south_central,0.0,62.3,8.0,-0.26,0.63,7.0,4.48,2.82
2002-11-15,south_central,0.01,58.6,7.63,-0.23,0.38,7.0,4.19,1.58
2002-11-22,south_central,0.38,52.8,7.38,0.16,0.61,7.0,4.19,1.12
2002-11-29,south_central,1.1,52.1,7.61,0.85,1.0,7.0,4.53,1.48
2002-12-06,south_central,2.16,50.4,8.0,1.91,1.0,7.0,5.05,2.85
2002-12-13,south_central,0.07,61.0,8.0,-0.34,0.75,7.0,4.67,1.48
2002-12-20,south_central,0.82,51.8,7.75,0.54,1.0,7.0,4.87,1.46
2002-12-27,south_central,0.71,55.1,8.0,0.38,1.0,7.0,4.87,1.29
2003-01-03,south_central,0.2,55.1,8.0,-0.13,1.0,7.0,4.65,0.69
