date,dtype,temp
1912-01-01,avg,17.08
1912-01-01,min,8.85
1912-02-01,max,31.3
1912-02-01,avg,21.15
1912-02-01,min,10.99
1912-03-01,max,29.16
1912-03-01,avg,17.62
1912-03-01,min,6.12
1912-04-01,max,45.46
1912-04-01,avg,34.54
1912-04-01,min,23.59
1912-05-01,max,53.28
1912-05-01,avg,42.06
1912-05-01,min,30.85
1912-06-01,max,66.67
1912-06-01,avg,53.26
1912-06-01,min,39.87
1912-07-01,max,69.24
1912-07-01,avg,56.68
1912-07-01,min,44.1
1912-08-01,max,66.38
1912-08-01,avg,54.81
1912-08-01,min,43.23
1912-09-01,max,50.4
1912-09-01,avg,41.05
1912-09-01,min,31.69
1912-10-01,max,44.28
1912-10-01,avg,34.93
1912-10-01,min,25.59
1912-11-01,max,38.62
1912-11-01,avg,30.13
1912-11-01,min,21.61
1912-12-01,max,28.63
1912-12-01,avg,19.08
1912-12-01,min,9.54
1913-01-01,max,23.83
1913-01-01,avg,14.58
1913-01-01,min,5.34
1913-02-01,max,21.88
1913-02-01,avg,10.54
1913-02-01,min,-0.78
1913-03-01,max,31.91
1913-03-01,avg,21.15
1913-03-01,min,10.4
1913-04-01,max,50.23
1913-04-01,avg,36.91
1913-04-01,min,23.61
1913-05-01,max,55.31
1913-05-01,avg,44.44
1913-05-01,min,33.55
1913-06-01,max,65.46
1913-06-01,avg,53.94
1913-06-01,min,42.42
1913-07-01,max,69.51
1913-07-01,avg,57.16
1913-07-01,min,44.8
1913-08-01,max,73.11
1913-08-01,avg,59.74
1913-08-01,min,46.36
1913-09-01,max,62.26
1913-09-01,avg,49.41
1913-09-01,min,36.54
1913-10-01,max,43.74
1913-10-01,avg,33.75
1913-10-01,min,23.76
1913-11-01,max,38.59
1913-11-01,avg,29.1
1913-11-01,min,19.63
1913-12-01,max,29.19
1913-12-01,avg,17.02
1913-12-01,min,4.87
1914-01-01,max,31.8
1914-01-01,avg,22.32
1914-01-01,min,12.87
1914-02-01,max,29.95
1914-02-01,avg,19.2
1914-02-01,min,8.47
1914-03-01,max,41.59
1914-03-01,avg,28.02
1914-03-01,min,14.45
1914-04-01,max,46.87
1914-04-01,avg,36.18
1914-04-01,min,25.48
1914-05-01,max,59.13
1914-05-01,avg,46.08
1914-05-01,min,33.01
1914-06-01,max,64.62
1914-06-01,avg,52.18
1914-06-01,min,39.72
1914-07-01,max,74.32
1914-07-01,avg,60.35
1914-07-01,min,46.35
1914-08-01,max,72.54
1914-08-01,avg,57.61
1914-08-01,min,42.67
1914-09-01,max,63.59
1914-09-01,avg,49.35
1914-09-01,min,35.1
1914-10-01,max,51.1
1914-10-01,avg,40.42
1914-10-01,min,29.75
1914-11-01,max,43.72
1914-11-01,avg,30.83
1914-11-01,min,17.94
1914-12-01,max,22.86
1914-12-01,avg,12.85
1914-12-01,min,2.86
1915-01-01,max,26.56
1915-01-01,avg,17.31
1915-01-01,min,8.1
1915-02-01,max,36.37
1915-02-01,avg,25.52
1915-02-01,min,14.65
1915-03-01,max,38.52
1915-03-01,avg,27.46
1915-03-01,min,16.41
1915-04-01,max,55.35
1915-04-01,avg,43.57
1915-04-01,min,31.77
1915-05-01,max,52.57
1915-05-01,avg,42.33
1915-05-01,min,32.09
1915-06-01,max,59.63
1915-06-01,avg,47.46
1915-06-01,min,35.28
1915-07-01,max,68.0
1915-07-01,avg,54.84
1915-07-01,min,41.67
1915-08-01,max,72.86
1915-08-01,avg,58.37
1915-08-01,min,43.86
1915-09-01,max,56.39
1915-09-01,avg,45.77
1915-09-01,min,35.13
1915-10-01,max,54.14
1915-10-01,avg,41.9
1915-10-01,min,29.64
1915-11-01,max,35.85
1915-11-01,avg,27.45
1915-11-01,min,19.06
1915-12-01,max,28.02
1915-12-01,avg,19.53
1915-12-01,min,11.03
1916-01-01,max,12.27
1916-01-01,avg,3.58
1916-01-01,min,-5.1
1916-02-01,max,31.8
1916-02-01,avg,21.38
1916-02-01,min,10.98
1916-03-01,max,41.09
1916-03-01,avg,30.9
1916-03-01,min,20.7
1916-04-01,max,47.17
1916-04-01,avg,35.64
1916-04-01,min,24.1
1916-05-01,max,49.33
1916-05-01,avg,39.02
1916-05-01,min,28.71
1916-06-01,max,62.91
1916-06-01,avg,49.17
1916-06-01,min,35.42
1916-07-01,max,76.55
1916-07-01,avg,61.41
1916-07-01,min,46.26
1916-08-01,max,70.99
1916-08-01,avg,56.64
1916-08-01,min,42.3
1916-09-01,max,62.4
1916-09-01,avg,48.09
1916-09-01,min,33.76
1916-10-01,max,43.75
1916-10-01,avg,33.6
1916-10-01,min,23.45
1916-11-01,max,31.44
1916-11-01,avg,21.22
1916-11-01,min,11.01
1916-12-01,max,17.44
1916-12-01,avg,9.55
1916-12-01,min,1.67
1917-01-01,max,20.01
1917-01-01,avg,10.31
1917-01-01,min,0.61
1917-02-01,max,25.88
1917-02-01,avg,15.31
1917-02-01,min,4.75
1917-03-01,max,26.58
1917-03-01,avg,16.14
1917-03-01,min,5.7
1917-04-01,max,39.7
1917-04-01,avg,29.86
1917-04-01,min,20.03
1917-05-01,max,49.86
1917-05-01,avg,39.92
1917-05-01,min,29.98
1917-06-01,max,63.77
1917-06-01,avg,50.02
1917-06-01,min,36.25
1917-07-01,max,78.42
1917-07-01,avg,63.37
1917-07-01,min,48.29
1917-08-01,max,70.75
1917-08-01,avg,56.34
1917-08-01,min,41.9
1917-09-01,max,62.47
1917-09-01,avg,49.95
1917-09-01,min,37.42
1917-10-01,max,48.2
1917-10-01,avg,36.03
1917-10-01,min,23.85
1917-11-01,max,43.86
1917-11-01,avg,33.78
1917-11-01,min,23.7
1917-12-01,max,29.93
1917-12-01,avg,21.9
1917-12-01,min,13.87
1918-01-01,max,22.57
1918-01-01,avg,13.78
1918-01-01,min,5.0
1918-02-01,max,27.36
1918-02-01,avg,17.1
1918-02-01,min,6.85
1918-03-01,max,43.07
1918-03-01,avg,30.54
1918-03-01,min,18.03
1918-04-01,max,39.58
1918-04-01,avg,29.57
1918-04-01,min,19.56
1918-05-01,max,52.57
1918-05-01,avg,41.29
1918-05-01,min,30.0
1918-06-01,max,70.95
1918-06-01,avg,57.72
1918-06-01,min,44.47
1918-07-01,max,70.41
1918-07-01,avg,57.65
1918-07-01,min,44.87
1918-08-01,max,69.28
1918-08-01,avg,55.27
1918-08-01,min,41.27
1918-09-01,max,59.27
1918-09-01,avg,47.79
1918-09-01,min,36.28
1918-10-01,max,51.71
1918-10-01,avg,41.11
1918-10-01,min,30.51
1918-11-01,max,33.69
1918-11-01,avg,24.84
1918-11-01,min,15.96
1918-12-01,max,29.84
1918-12-01,avg,21.42
1918-12-01,min,13.03
1919-01-01,max,31.66
1919-01-01,avg,21.63
1919-01-01,min,11.62
1919-02-01,max,28.45
1919-02-01,avg,17.8
1919-02-01,min,7.16
1919-03-01,max,39.61
1919-03-01,avg,26.98
1919-03-01,min,14.32
1919-04-01,max,49.6
1919-04-01,avg,37.62
1919-04-01,min,25.61
1919-05-01,max,60.82
1919-05-01,avg,47.28
1919-05-01,min,33.76
1919-06-01,max,75.22
1919-06-01,avg,58.95
1919-06-01,min,42.66
1919-07-01,max,79.2
1919-07-01,avg,63.12
1919-07-01,min,47.05
1919-08-01,max,75.33
1919-08-01,avg,60.01
1919-08-01,min,44.69
1919-09-01,max,62.8
1919-09-01,avg,50.38
1919-09-01,min,37.98
1919-10-01,max,38.46
1919-10-01,avg,28.87
1919-10-01,min,19.29
1919-11-01,max,30.43
1919-11-01,avg,20.46
1919-11-01,min,10.49
1919-12-01,max,21.52
1919-12-01,avg,10.9
1919-12-01,min,0.27
1920-01-01,max,29.53
1920-01-01,avg,19.9
1920-01-01,min,10.27
1920-02-01,max,31.55
1920-02-01,avg,20.01
1920-02-01,min,8.49
1920-03-01,max,33.87
1920-03-01,avg,22.95
1920-03-01,min,12.04
1920-04-01,max,38.3
1920-04-01,avg,28.47
1920-04-01,min,18.66
1920-05-01,max,53.49
1920-05-01,avg,42.44
1920-05-01,min,31.39
1920-06-01,max,63.91
1920-06-01,avg,51.06
1920-06-01,min,38.19
1920-07-01,max,75.16
1920-07-01,avg,60.62
1920-07-01,min,46.08
1920-08-01,max,72.12
1920-08-01,avg,57.97
1920-08-01,min,43.81
1920-09-01,max,61.77
1920-09-01,avg,49.59
1920-09-01,min,37.38
1920-10-01,max,46.6
1920-10-01,avg,36.79
1920-10-01,min,26.96
